Genes,Type,Class,Mechanism,Group
MEG_1041|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_856|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_841|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7139|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_771|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_3516|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|KPNO,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,KPNO
MEG_3087|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_7559|Drugs|Glycopeptides|VanB-type_resistance_protein|VANXB,Drugs,Glycopeptides,VanB-type resistance protein,VANXB
MEG_765|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_779|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7561|Drugs|Glycopeptides|VanB-type_resistance_protein|VANXB,Drugs,Glycopeptides,VanB-type resistance protein,VANXB
MEG_1430|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_5418|Metals|Copper_resistance|Copper_resistance_protein|PCOB,Metals,Copper resistance,Copper resistance protein,PCOB
MEG_5821|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|QACAB,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,QACAB
MEG_5847|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|QACH,Multi-compound,Drug and biocide resistance,Drug and biocide SMR efflux pumps,QACH
MEG_1179|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ASMA
MEG_6151|Drugs|betalactams|Class_A_betalactamases|RTG,Drugs,betalactams,Class A betalactamases,RTG
MEG_7019|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TETA
MEG_6975|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TET33
MEG_5060|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_7112|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_783|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_7684|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,VGA
MEG_7113|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_6598|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_2560|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRB,Drugs,Trimethoprim,Dihydrofolate reductase,DFRB
MEG_952|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1339|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1685|Drugs|Multi-drug_resistance|MDR_23S_ribosomal_RNA_methyltransferase|CFRC,Drugs,Multi-drug resistance,MDR 23S ribosomal RNA methyltransferase,CFRC
MEG_2714|Biocides|Quaternary_Ammonium_Compounds_(QACs)_resistance|QAC_efflux_pump|EMEA,Biocides,Quaternary Ammonium Compounds (QACs) resistance,QAC efflux pump,EMEA
MEG_3618|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUF,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUF
MEG_796|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1277|Drugs|betalactams|Class_C_betalactamases|BLAEC,Drugs,betalactams,Class C betalactamases,BLAEC
MEG_6942|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3666|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,MCR
MEG_884|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1371|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_6162|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,Drugs,Nucleosides,Streptothricin acetyltransferase,SAT
MEG_767|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_6867|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_3665|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MCO,Metals,Multi-metal resistance,Multi-metal resistance protein,MCO
MEG_324|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6581|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_6721|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_2502|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_1566|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_1863|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_1432|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1875|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_1027|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_200|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_526|Drugs|betalactams|Class_C_betalactamases|ADC,Drugs,betalactams,Class C betalactamases,ADC
MEG_2896|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECE,Metals,Multi-metal resistance,Multi-metal ABC efflux pumps,FECE
MEG_2081|Metals|Copper_resistance|Copper_resistance_regulator|COPZ,Metals,Copper resistance,Copper resistance regulator,COPZ
MEG_6635|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
MEG_6742|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,Metals,Arsenic resistance,Arsenic resistance protein,PSTB
MEG_4019|Drugs|betalactams|Class_C_betalactamases|MOX,Drugs,betalactams,Class C betalactamases,MOX
MEG_3875|Metals|Mercury_resistance|Mercury_resistance_protein|MERP,Metals,Mercury resistance,Mercury resistance protein,MERP
MEG_3292|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|ICR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,ICR
MEG_4171|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKD,Metals,Nickel resistance,Nickel ABC efflux pumps,NIKD
MEG_306|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_4926|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_6796|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_823|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1485|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|CADC,Metals,Multi-metal resistance,Multi-metal resistance regulator,CADC
MEG_3007|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSB,Drugs,Fosfomycin,Fosfomycin thiol transferases,FOSB
MEG_4843|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_1654|Drugs|betalactams|Class_C_betalactamases|CEPS,Drugs,betalactams,Class C betalactamases,CEPS
MEG_3912|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXF,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXF
MEG_473|Drugs|betalactams|Class_C_betalactamases|ACT,Drugs,betalactams,Class C betalactamases,ACT
MEG_2895|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|FECD,Metals,Multi-metal resistance,Multi-metal ABC efflux pumps,FECD
MEG_3598|Drugs|Multi-drug_resistance|Multi-drug_MFS_efflux_pumps|LMRP,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,LMRP
MEG_3771|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_3795|Drugs|betalactams|Penicillin_binding_protein|MECB,Drugs,betalactams,Penicillin binding protein,MECB
MEG_6829|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1151|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,Metals,Multi-metal resistance,Multi-metal resistance protein,ARSBM
MEG_1468|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|BLTR,Biocides,Multi-biocide resistance,Multi-biocide resistance regulator,BLTR
MEG_6602|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_3603|Drugs|MLS|Lincosamide_nucleotidyltransferases|LNUA,Drugs,MLS,Lincosamide nucleotidyltransferases,LNUA
MEG_5988|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
MEG_680|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADED,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,ADED
MEG_1001|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
MEG_240|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_1359|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1478|Drugs|Glycopeptides|Bleomycin_resistance_protein|BRP,Drugs,Glycopeptides,Bleomycin resistance protein,BRP
MEG_1147|Metals|Arsenic_resistance|Arsenic_resistance_protein|ARSB,Metals,Arsenic resistance,Arsenic resistance protein,ARSB
MEG_1704|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|CHR,Multi-compound,Biocide and metal resistance,Biocide and metal resistance protein,CHR
MEG_2858|Drugs|MLS|23S_rRNA_methyltransferases|ERMX,Drugs,MLS,23S rRNA methyltransferases,ERMX
MEG_5398|Drugs|Fluoroquinolones|Fluoroquinolone_ABC_efflux_pump|PATB,Drugs,Fluoroquinolones,Fluoroquinolone ABC efflux pump,PATB
MEG_6027|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS,Drugs,Fluoroquinolones,Quinolone resistance protein Qnr,QNRS
MEG_1407|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_814|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1058|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MEG_1337|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_2688|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_6542|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODA,Biocides,Peroxide resistance,peroxide resistance protein,SODA
MEG_3783|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_1070|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-PRIME
MEG_5415|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|PCM,Biocides,Multi-biocide resistance,Multi-biocide resistance regulator,PCM
MEG_938|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_2918|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,FLOR
MEG_6169|Drugs|Nucleosides|Streptothricin_acetyltransferase|SAT,Drugs,Nucleosides,Streptothricin acetyltransferase,SAT
MEG_7200|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETS
MEG_3094|Drugs|betalactams|Class_A_betalactamases|GES,Drugs,betalactams,Class A betalactamases,GES
MEG_4327|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXA,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,OQXA
MEG_2679|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_1379|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_6150|Drugs|betalactams|Class_A_betalactamases|RTG,Drugs,betalactams,Class A betalactamases,RTG
MEG_2457|Metals|Copper_resistance|Copper_resistance_protein|CUTE,Metals,Copper resistance,Copper resistance protein,CUTE
MEG_2529|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_6627|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
MEG_2080|Metals|Copper_resistance|Copper_resistance_regulator|COPY,Metals,Copper resistance,Copper resistance regulator,COPY
MEG_1636|Drugs|betalactams|Class_A_betalactamases|CBLA,Drugs,betalactams,Class A betalactamases,CBLA
MEG_128|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_2439|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CUEA,Metals,Multi-metal resistance,Multi-metal resistance protein,CUEA
MEG_2038|Metals|Copper_resistance|Copper_resistance_protein|COPB,Metals,Copper resistance,Copper resistance protein,COPB
MEG_1652|Biocides|Biguanide_resistance|Biguanide_cation_efflux|CEPAB,Biocides,Biguanide resistance,Biguanide cation efflux,CEPAB
MEG_1425|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_2579|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRG,Drugs,Trimethoprim,Dihydrofolate reductase,DFRG
MEG_3864|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD,Metals,Mercury resistance,Mercury resistance regulator,MERD
MEG_3773|Drugs|betalactams|Penicillin_binding_protein|MECA,Drugs,betalactams,Penicillin binding protein,MECA
MEG_3948|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,Metals,Multi-metal resistance,Multi-metal resistance regulator,MGTA
MEG_715|Metals|Arsenic_resistance|Arsenite_oxidase_regulator|AIOR,Metals,Arsenic resistance,Arsenite oxidase regulator,AIOR
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|AMVA,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,AMVA
MEG_2929|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,Drugs,Phenicol,Phenicol resistance MFS efflux pumps,FLOR
MEG_839|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_2695|Drugs|betalactams|Class_B_betalactamases|EBR,Drugs,betalactams,Class B betalactamases,EBR
MEG_1386|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_3705|Drugs|Lipopeptides|Colistin_phosphoethanolamine_transferase|MCR,Drugs,Lipopeptides,Colistin phosphoethanolamine transferase,MCR
MEG_4732|Drugs|betalactams|Class_D_betalactamases|OXA,Drugs,betalactams,Class D betalactamases,OXA
MEG_6722|Drugs|betalactams|Class_A_betalactamases|TEM,Drugs,betalactams,Class A betalactamases,TEM
MEG_1418|Drugs|betalactams|Class_A_betalactamases|BLAZ,Drugs,betalactams,Class A betalactamases,BLAZ
MEG_1116|Drugs|Multi-drug_resistance|MDR_regulator|ARLR,Drugs,Multi-drug resistance,MDR regulator,ARLR
MEG_332|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_7206|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
MEG_924|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
MEG_1302|Drugs|betalactams|Penicillin_binding_protein_regulator|BLAR,Drugs,betalactams,Penicillin binding protein regulator,BLAR
MEG_7145|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,Drugs,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETM
MEG_6616|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
MEG_1879|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_3868|Metals|Mercury_resistance|Mercury_resistance_protein|MERE,Metals,Mercury resistance,Mercury resistance protein,MERE
MEG_6053|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|RECGM,Metals,Multi-metal resistance,Multi-metal resistance protein,RECGM
MEG_2677|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,Metals,Multi-metal resistance,Multi-metal resistance protein,DSBA
MEG_3323|Drugs|betalactams|Class_B_betalactamases|IMP,Drugs,betalactams,Class B betalactamases,IMP
MEG_979|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT4-PRIME,Drugs,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT4-PRIME
MEG_287|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_6972|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET33,Drugs,Tetracyclines,Tetracycline resistance MFS efflux pumps,TET33
MEG_3940|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXY,Multi-compound,Drug and biocide resistance,Drug and biocide RND efflux pumps,MEXY
MEG_2462|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CZCA,Metals,Multi-metal resistance,Multi-metal RND efflux pumps,CZCA
MEG_2482|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,Drugs,Trimethoprim,Dihydrofolate reductase,DFRA
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,Multi-compound,Drug and biocide resistance,Drug and biocide MFS efflux pumps,EMRY
MEG_1580|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATA,Drugs,Phenicol,Chloramphenicol acetyltransferases,CATA
MEG_5768|Drugs|betalactams|Class_A_betalactamases|PER,Drugs,betalactams,Class A betalactamases,PER
MEG_1974|Drugs|betalactams|Class_C_betalactamases|CMY,Drugs,betalactams,Class C betalactamases,CMY
MEG_6585|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Drugs,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
