Genes,Type,Plasmid_structural_accessory_genes,Gene_description,Locus,IS_TE_Name,IS_Family,IS_Group,IS_Locus_origin,Bit_score,E_Value
gene:plasmid:19599,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,ArtA,D616_p97107,NA,NA,NA,NA,NA,NA
gene:plasmid:84541,Plasmid,Hypothetical plasmid protein,hypothetical protein,D616_p81109,NA,NA,NA,NA,NA,NA
gene:vir:2030,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163574,Prophage,NA,dUTP pyrophosphatase,SH2368,NA,NA,NA,NA,NA,NA
gene:vir:103635,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6825,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:119017,Plasmid,Hypothetical plasmid protein,hypothetical protein,LSL_RS00220,NA,NA,NA,NA,NA,NA
gene:plasmid:123305,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,IroD,O2ColV55,NA,NA,NA,NA,NA,NA
gene:plasmid:19446,Plasmid,Unclassified plasmid gene,None,ERROR,NA,NA,NA,NA,NA,NA
gene:plasmid:147581,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,plasmid segregation protein ParM,SAUSA300_pUSA030034,NA,NA,NA,NA,NA,NA
gene:vir:5702,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14724,Prophage,NA,hypothetical protein,pXZ10142_p5,NA,NA,NA,NA,NA,NA
gene:vir:107123,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:124926,Plasmid ARG,Plasmid ARG,arsenite efflux transporter membrane subunit ArsB,SSP_RS12335,NA,NA,NA,NA,NA,NA
rep1_4_repE(orf17)_NC011140,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
rep4_3_ORF(pMBB1)_EFU26268,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:93388,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279b_p25,NA,NA,NA,NA,NA,NA
gene:plasmid:25354,IS,NA,IS1X1,pWR501_0228,IS1X1,IS1,None,Shigella flexneri,952,0
gene:plasmid:82858,IS,NA,IS6100,pLEW279a_p09,IS6100,IS6,None,Mycobacterium fortuitum,1576,0
gene:plasmid:139395,Plasmid,Hypothetical plasmid protein,hypothetical protein,LSL_RS10020,NA,NA,NA,NA,NA,NA
gene:proph:174819,Prophage,NA,phage protein,M5005_Spy_1038,NA,NA,NA,NA,NA,NA
gene:proph:184675,IS,NA,IS1 orfB,S1961,IS1X1,IS1,None,Shigella flexneri,959,0
gene:plasmid:130009,Plasmid,PREPIM,repA,pMS260_p09,NA,NA,NA,NA,NA,NA
gene:vir:108946,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:151643,Plasmid ARG,Plasmid ARG,multidrug resistance efflux protein Smr,pSP187_01,NA,NA,NA,NA,NA,NA
gene:plasmid:14829,Plasmid,Plasmid virulence and pathogenicity domain,CRISPR_Cmr4,pCG4_p29,NA,NA,NA,NA,NA,NA
gene:vir:103517,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6471,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:179382,Prophage,NA,hypothetical protein,c0949,NA,NA,NA,NA,NA,NA
gene:plasmid:28574,Plasmid,PREPIM,repC,Manual,NA,NA,NA,NA,NA,NA
gene:vir:107101,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
IncX3_1__JN247852,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:176829,Prophage,NA,phage terminase,APECO1_1025,NA,NA,NA,NA,NA,NA
gene:plasmid:20396,Plasmid,Hypothetical plasmid protein,hypothetical protein,pWWO_p083,NA,NA,NA,NA,NA,NA
gene:plasmid:119731,Plasmid,Hypothetical plasmid protein,hypothetical protein,UTI89_P086,NA,NA,NA,NA,NA,NA
gene:vir:103523,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:176914,Prophage,NA,phage protein U,APECO1_1178,NA,NA,NA,NA,NA,NA
gene:plasmid:139268,Plasmid ARG,Plasmid ARG,heavy metal translocating P-type ATPase,LSL_RS09860,NA,NA,NA,NA,NA,NA
gene:plasmid:124048,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCPF4969_13,NA,NA,NA,NA,NA,NA
gene:proph:176742,Prophage,NA,hypothetical protein,APECO1_2044,NA,NA,NA,NA,NA,NA
gene:plasmid:133472,TE,NA,tnDra1,DR_C0011,TnDra1,NA,NA,Deinococcus radiodurans,924,0
gene:proph:163466,Prophage,NA,hypothetical protein,SH2087,NA,NA,NA,NA,NA,NA
gene:plasmid:92402,IS,NA,ISAs29,ASA_RS21760,ISAs29,IS21,None,Aeromonas salmonicida,2795,0
gene:vir:9540,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17131,Plasmid,PREPIM,repB,pMD5057_001,NA,NA,NA,NA,NA,NA
gene:proph:163518,Prophage,NA,hypothetical protein,SH1790,NA,NA,NA,NA,NA,NA
gene:vir:104429,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:27510,IS,NA,ISRm14,SM_RS19750,ISRm14,IS66,None,Sinorhizobium meliloti,678,0
gene:plasmid:15094,Plasmid,Plasmid virulence and pathogenicity domain,hemin importer ATP-binding subunit,DR_B0016,NA,NA,NA,NA,NA,NA
gene:plasmid:85119,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW6932_p43,NA,NA,NA,NA,NA,NA
gene:plasmid:112769,Plasmid,Plasmid biosynthesis_regulatory_enzymes,glutamine amidotransferase,SSP_RS12510,NA,NA,NA,NA,NA,NA
ICEberg|47|Tn5251(partofTn5253)|GenBank|FJ711160|1..18033,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:172538,Prophage,NA,hypothetical protein,ECs_2769,NA,NA,NA,NA,NA,NA
gene:vir:105325,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:110307,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCPF5603_67,NA,NA,NA,NA,NA,NA
gene:plasmid:145990,IS,NA,IS1216E,pVEF1_029,IS1216E,IS6,None,Enterococcus faecium,1354,0
gene:plasmid:30255,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,partition protein C,XACa0020,NA,NA,NA,NA,NA,NA
gene:plasmid:83855,Plasmid,Plasmid biosynthesis_regulatory_enzymes,dihydropteroate synthase,YpIP275_pIP1202_0073,NA,NA,NA,NA,NA,NA
gene:plasmid:17290,Plasmid,Hypothetical plasmid protein,hypothetical protein,pNZ4000_07,NA,NA,NA,NA,NA,NA
ICEberg|377|ICESa2603|GenBank|AE009948|1256680..1311028,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:180369,Prophage,NA,hypothetical protein,spyM18_0389,NA,NA,NA,NA,NA,NA
gene:plasmid:123178,IS,NA,IS1S,O2ColV195,IS1S,IS1,None,Shigella sonnei,478,2.00E-135
gene:proph:184705,Prophage,NA,cell wall-binding protein,LREU_RS07045,NA,NA,NA,NA,NA,NA
gene:proph:181106,Prophage,NA,bacteriophage V crossover junction endodeoxyribonuclease,UTI89_C2996,NA,NA,NA,NA,NA,NA
gene:plasmid:133191,Plasmid,PREPIM,repA,YP_pMT057,NA,NA,NA,NA,NA,NA
ICEberg|192|ICE(Tn4371)6033|GenBank|CP001068|2715199..2769318,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:132161,IS,NA,ISS1M,LACR_C41,ISS1M,IS6,None,Lactococcus lactis,1342,0
gene:plasmid:28833,Plasmid,PREPIM,replication-associated protein,SAVP034,NA,NA,NA,NA,NA,NA
gene:plasmid:154495,Plasmid,Plasmid ARG,cpp24,pCC31p23,NA,NA,NA,NA,NA,NA
gene:proph:162093,Prophage,NA,"prophage LambdaMc01, terminase, large subunit",MCA2658,NA,NA,NA,NA,NA,NA
gene:vir:6065,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:155325,Plasmid ARG,Plasmid ARG,efflux protein QacA,pSA1379_19,NA,NA,NA,NA,NA,NA
gene:plasmid:24242,IS,NA,IS10L,HCM1.194,IS10L,IS4,IS10,Salmonella typhimurium,2333,0
gene:vir:105296,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:151266,IS,NA,IS1F,pCoo058,IS1F,IS1,None,Escherichia coli,904,0
gene:plasmid:158148,Plasmid,Plasmid transposition_recombination_integration,putative transposase,pREL1_0288,NA,NA,NA,NA,NA,NA
gene:vir:105332,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:107095,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:153103,Plasmid ARG,Plasmid ARG,TetR family transcriptional regulator,Ppro_3835,NA,NA,NA,NA,NA,NA
gene:vir:95203,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:87097,Plasmid,Hypothetical plasmid protein,hypothetical protein,pGdh442_p14,NA,NA,NA,NA,NA,NA
gene:plasmid:85911,IS,NA,ISPye24,Rsph17025_3539,ISPye24,IS5,IS427,Paracoccus yeei,468,3.00E-132
gene:plasmid:85715,Plasmid ARG,Plasmid ARG,putative monovalent cation/H+ antiporter subunit C,Rsph17025_3624,NA,NA,NA,NA,NA,NA
gene:plasmid:135201,IS,NA,ISVsa3,pSERF1_p6,ISVsa3,IS91,None,Vibrio salmonicida,1911,0
gene:plasmid:17118,Plasmid,PREPIM,repA initiator,pLH1_p13,NA,NA,NA,NA,NA,NA
Col(MG828)_1__NC_008486,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:133315,Plasmid,Hypothetical plasmid protein,hypothetical protein,Reut_D6448,NA,NA,NA,NA,NA,NA
gene:vir:7058,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:153276,Plasmid replicon,Plasmid replicon,IncP_rep_trfA2,pJP4_54,NA,NA,NA,NA,NA,NA
gene:plasmid:115777,TE,NA,transposase,LSEI_A14,ISAba15,NA,NA,Acinetobacter baumannii,38.2,0.013
gene:plasmid:24283,TE,NA,Tn10_jemC,HCM1.244c,ISvNY2A_1,NA,NA,Virus NY2A,38.2,0.019
gene:plasmid:148200,Plasmid,PREPIM,Plasmid_maintenance_Mok,pC15-1a_044,NA,NA,NA,NA,NA,NA
gene:proph:174884,Prophage,NA,DNA-binding protein HU,M5005_Spy_1223,NA,NA,NA,NA,NA,NA
gene:plasmid:112246,TE,NA,Tn3_IS1071,RMe0109,IS1071,NA,NA,Alcaligenes sp.,4524,0
gene:vir:107114,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:119026,Plasmid ARG,Plasmid ARG,TetR/AcrR family transcriptional regulator,LSL_RS00155,NA,NA,NA,NA,NA,NA
gene:plasmid:117755,Plasmid,Plasmid transposition_recombination_integration,paa4_resolvase,SC060,NA,NA,NA,NA,NA,NA
gene:plasmid:91802,Plasmid,Plasmid non_conjugative efflux_transport,glnP,KPN_pKPN5p08192,NA,NA,NA,NA,NA,NA
gene:plasmid:14766,Plasmid,Plasmid transposition_recombination_integration,TnpA protein,pTET3_p21,NA,NA,NA,NA,NA,NA
gene:plasmid:158560,Plasmid,Unclassified plasmid gene,None,pRSB101_51,NA,NA,NA,NA,NA,NA
gene:plasmid:121472,TE,NA,LH0155_transposase,LH0155,ISEc21,NA,NA,Escherichia coli,260,1.00E-69
rep22_2_repU(pKKS825)_FN377602.2,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14727,Prophage,NA,redoxin homolog NrdH,pAG1_p01,NA,NA,NA,NA,NA,NA
gene:plasmid:157052,Plasmid,Plasmid biosynthesis_regulatory_enzymes,NUDIX hydrolase,Mkms_5996,NA,NA,NA,NA,NA,NA
gene:proph:176864,Prophage,NA,holin,APECO1_4195,NA,NA,NA,NA,NA,NA
gene:plasmid:24435,Plasmid,Plasmid virulence and pathogenicity domain,Surface_protein_A,HCM2.0113c,NA,NA,NA,NA,NA,NA
gene:vir:80677,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:179425,Prophage,NA,hypothetical protein,c0973,NA,NA,NA,NA,NA,NA
gene:proph:183549,Prophage,NA,tail protein,SFV_0250,NA,NA,NA,NA,NA,NA
ICEberg|80|ICESpn8140|GenBank|FR671412|1..26888,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6651,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:164837,Prophage,NA,hypothetical protein,MS0089,NA,NA,NA,NA,NA,NA
gene:plasmid:25339,Plasmid,Plasmid virulence and pathogenicity domain,yceB,pWR501_0213,NA,NA,NA,NA,NA,NA
gene:vir:7144,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:3398,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:14648,Plasmid,Plasmid biosynthesis_regulatory_enzymes,Galactose mutarotase,pNG2_p09,NA,NA,NA,NA,NA,NA
gene:plasmid:19669,Plasmid ARG,Plasmid ARG,hypothetical protein,D742_p2083,NA,NA,NA,NA,NA,NA
gene:plasmid:154920,Plasmid,PTTREG,GlxA transcription reg,Pden_4909,NA,NA,NA,NA,NA,NA
gene:vir:103457,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:95559,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:82869,Plasmid,Hypothetical plasmid protein,hypothetical protein,pLEW279a_p20,NA,NA,NA,NA,NA,NA
gene:proph:172520,Prophage,NA,"tRNA(Gln,Lys,Glu) U34 2-thiouridylase",ECs_1605,NA,NA,NA,NA,NA,NA
gene:plasmid:87369,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,hxlA,SaurJH9_2736,NA,NA,NA,NA,NA,NA
gene:proph:181231,Prophage,NA,recombination protein Bet of prophage,UTI89_C1276,NA,NA,NA,NA,NA,NA
gene:plasmid:120143,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,groL,pRL120642,NA,NA,NA,NA,NA,NA
gene:plasmid:20683,IS,NA,ISPre3,D786_p099,ISPre3,IS66,None,Pseudomonas resinovorans,749,0
gene:vir:108395,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:115901,Plasmid,Hypothetical plasmid protein,hypothetical protein,Rms149_p51,NA,NA,NA,NA,NA,NA
gene:plasmid:135991,Plasmid,Plasmid non_conjugative efflux_transport,lactose transport regulator,LACR_D07,NA,NA,NA,NA,NA,NA
gene:plasmid:19748,Plasmid,PREPIM,repB,p121BS_p3,NA,NA,NA,NA,NA,NA
gene:proph:169145,Prophage,NA,phage terminase,SBO_1405,NA,NA,NA,NA,NA,NA
gene:plasmid:17279,Plasmid,Hypothetical plasmid protein,hypothetical protein,pSRQ800_05,NA,NA,NA,NA,NA,NA
gene:proph:184805,Prophage,NA,hypothetical protein,LREU_RS05940,NA,NA,NA,NA,NA,NA
gene:plasmid:92482,IS,NA,ISSpwi1,Swit_4909,ISSpwi1,IS3,IS407,Sphingomonas wittichii,553,5.00E-158
rep5_7_rep(pJE1)_AF051916.1,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6841,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:80006,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:163543,Prophage,NA,cold-shock protein C,SH2398,NA,NA,NA,NA,NA,NA
gene:plasmid:15990,Plasmid,Hypothetical plasmid protein,hypothetical protein,p165897_061,NA,NA,NA,NA,NA,NA
gene:vir:7049,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:149999,Plasmid,PREPIM,repA,LP_RS15490,NA,NA,NA,NA,NA,NA
gene:vir:101353,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:135986,Plasmid,Plasmid non_conjugative efflux_transport,celloiose-specific PTS system,LACR_D02,NA,NA,NA,NA,NA,NA
gene:vir:9779,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:117684,TE,NA,tnpR,SC028,TnAs2,NA,NA,Aeromonas salmonicida,220,1.00E-57
gene:plasmid:15292,Plasmid,Plasmid transposition_recombination_integration,TniQ,pUO1_30,NA,NA,NA,NA,NA,NA
gene:vir:108358,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:6902,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:127460,Plasmid,Hypothetical plasmid protein,hypothetical protein,CJJ81176_pTet0049,NA,NA,NA,NA,NA,NA
gene:plasmid:87454,Plasmid,PREPIM,IncN repA,D616_p80059,NA,NA,NA,NA,NA,NA
gene:plasmid:15503,Plasmid,PREPIM,rep_protein,EF_RS16215,NA,NA,NA,NA,NA,NA
gene:plasmid:117345,Plasmid,Hypothetical plasmid protein,hypothetical protein,pO86A1_p064,NA,NA,NA,NA,NA,NA
gene:vir:6062,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:91018,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,helix-turn-helix HxlR type,SaurJH1_2814,NA,NA,NA,NA,NA,NA
gene:vir:105343,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:85101,Plasmid ARG,Plasmid ARG,hypothetical protein,pLEW6932_p37,NA,NA,NA,NA,NA,NA
gene:plasmid:155236,TE,NA,Tn3 transposase,Bamb_6617,IS1071,NA,NA,Alcaligenes sp.,3612,0
gene:vir:81120,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:95281,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:17159,Plasmid,Unclassified plasmid gene,ORF-11,pRV500_p10,NA,NA,NA,NA,NA,NA
gene:plasmid:154413,Plasmid,PTTREG,putative LysR-family transcriptional regulator,pFBAOT6.67,NA,NA,NA,NA,NA,NA
gene:vir:105309,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:184643,Prophage,NA,tRNA-specific adenosine deaminase,S2778,NA,NA,NA,NA,NA,NA
ICEberg|427|Tn6086|GenBank|HM636636|1..24468,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:97290,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:148940,Plasmid,PTTREG,ribbon-helix-helix protein domain-containing protein,CPR_A0009,NA,NA,NA,NA,NA,NA
gene:vir:95255,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154437,TE,NA,TnAs3,pFBAOT6.45,TnAs3,NA,NA,Aeromonas salmonicida,2002,0
gene:proph:183636,Prophage,NA,hypothetical protein,SFV_2185,NA,NA,NA,NA,NA,NA
gene:plasmid:152685,TE,NA,TnAs3,Rmet_6178,TnAs3,NA,NA,Aeromonas salmonicida,442,2.00E-124
gene:plasmid:97786,Plasmid,Plasmid ARG,cpp3,pTet_p03,NA,NA,NA,NA,NA,NA
gene:plasmid:136016,Plasmid,Hypothetical plasmid protein,hypothetical protein,YP_pCRY11,NA,NA,NA,NA,NA,NA
gene:proph:179429,Prophage,NA,hypothetical protein,c0936,NA,NA,NA,NA,NA,NA
gene:plasmid:114253,IS,NA,ISEc13,SDY_P061,ISEc13,IS4,IS50,Escherichia coli,392,1.00E-109
gene:plasmid:136317,Plasmid,Hypothetical plasmid protein,hypothetical protein,CPR_B0005,NA,NA,NA,NA,NA,NA
gene:proph:171081,Prophage,NA,hypothetical protein,SAK_0624,NA,NA,NA,NA,NA,NA
gene:plasmid:154050,Plasmid ARG,Plasmid ARG,transcriptional regulator MerD,SMR0118,NA,NA,NA,NA,NA,NA
gene:plasmid:139404,Plasmid,Hypothetical plasmid protein,hypothetical protein,LSL_RS10325,NA,NA,NA,NA,NA,NA
gene:plasmid:14690,Plasmid,Hypothetical plasmid protein,hypothetical protein,CE3P020,NA,NA,NA,NA,NA,NA
gene:vir:2041,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
rep7_5_CDS1(pKC5b)_AF378372,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:133354,Plasmid,PREPIM,rep_pLNU6_p1,pLNU6_p1,NA,NA,NA,NA,NA,NA
ICEberg|3|CTnDOT|GenBank|AJ431573|1..7655,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:10433,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
ICEberg|183|2096-RD.2|GenBank|CP000261|1057904..1120305,ICE,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:176923,Prophage,NA,immunity repressor,APECO1_4459,NA,NA,NA,NA,NA,NA
gene:plasmid:90906,TE,NA,transposase,Mflv_5496,ISRso20,NA,NA,Ralstonia solanacearum,46.1,3.00E-05
gene:vir:103666,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:106552,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:proph:168676,Prophage,NA,single-stranded DNA-binding protein,Bpet1036,NA,NA,NA,NA,NA,NA
gene:proph:175028,IS,NA,hypothetical protein,t2652,ISRor6,IS200/IS605,IS1341,Raoultella ornithinolytica,67.9,1.00E-11
gene:proph:173900,Prophage,NA,bacteriophage protein,STY1069,NA,NA,NA,NA,NA,NA
gene:plasmid:156374,IS,NA,IS1216E,pVEF221,IS1216E,IS6,None,Enterococcus faecium,1354,0
gene:plasmid:16054,IS,NA,IS1A,p165897_125,IS1A,IS1,None,Escherichia coli,967,0
gene:proph:183583,Prophage,NA,DNA-binding transcriptional regulator,SFV_2609,NA,NA,NA,NA,NA,NA
gene:plasmid:17326,IS,NA,ISLgar4,pNZ4000_43,ISLgar4,IS6,None,Lactococcus garvieae,785,0
gene:plasmid:82848,IS,NA,IS6100,pLEW279a_p01,IS6100,IS6,None,Mycobacterium fortuitum,1283,0
gene:plasmid:117715,Plasmid,Hypothetical plasmid protein,hypothetical protein,SC083,NA,NA,NA,NA,NA,NA
gene:plasmid:91669,Plasmid,Hypothetical plasmid protein,hypothetical protein,SNSL254_pSN254_0093,NA,NA,NA,NA,NA,NA
gene:vir:104147,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:85555,IS,NA,ISPam3,Rsph17025_3765,ISPam3,IS3,IS407,Paracoccus aminophilus,1368,0
gene:plasmid:14689,Plasmid,Hypothetical plasmid protein,hypothetical protein,CE3P019,NA,NA,NA,NA,NA,NA
gene:vir:6716,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:135616,Plasmid,Hypothetical plasmid protein,hypothetical protein,pRE25p47,NA,NA,NA,NA,NA,NA
gene:plasmid:84293,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,yfdX2,OANT_RS23075,NA,NA,NA,NA,NA,NA
gene:plasmid:155939,IS,NA,IS903B,LV131,IS903B,IS5,IS903,Escherichia coli,1501,0
gene:vir:3427,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:80675,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:154645,Plasmid,Plasmid biosynthesis_regulatory_enzymes,phosphatidylserine decarboxylase,Pden_4692,NA,NA,NA,NA,NA,NA
gene:vir:103600,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:135221,TE,NA,Tn3,AAur_pTC10224,IS1071,NA,NA,Alcaligenes sp.,5737,0
gene:vir:6453,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:vir:131,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:142738,Plasmid,Unclassified plasmid gene,None,AAur_pTC20092,NA,NA,NA,NA,NA,NA
gene:plasmid:123331,Plasmid,Hypothetical plasmid protein,hypothetical protein,O2ColV28,NA,NA,NA,NA,NA,NA
gene:proph:181054,Prophage,NA,phage holin,UTI89_C0933,NA,NA,NA,NA,NA,NA
IncW_1__EF633507,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:19781,Plasmid,Hypothetical plasmid protein,hypothetical protein,pCU1p4,NA,NA,NA,NA,NA,NA
gene:plasmid:129190,TE,NA,Tn402 transposon,pKJK5_28,TnAs3,NA,NA,Aeromonas salmonicida,2010,0
gene:plasmid:19386,Plasmid,PTTREG,RNA inhibition protein,pColE1_12,NA,NA,NA,NA,NA,NA
gene:plasmid:154412,Plasmid,Plasmid biosynthesis_regulatory_enzymes,glutathione S-transferase family protein,pFBAOT6.64,NA,NA,NA,NA,NA,NA
gene:plasmid:121583,Plasmid,Plasmid relaxase and mobilization machinery,relaxosome nikA,LH0066,NA,NA,NA,NA,NA,NA
gene:proph:180897,Prophage,NA,phage tail,nfa520,NA,NA,NA,NA,NA,NA
gene:vir:96319,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:130592,Plasmid,Hypothetical plasmid protein,hypothetical protein,pKB1_p061,NA,NA,NA,NA,NA,NA
gene:proph:172454,Prophage,NA,phage tail assembly protein,ECs_1646,NA,NA,NA,NA,NA,NA
gene:plasmid:84622,IS,NA,ISEc31,SF0157_p75,ISEc31,IS3,IS3,Escherichia coli,603,9.00E-173
gene:plasmid:28776,Plasmid ARG,Plasmid ARG,CadX,pUB101_p03,NA,NA,NA,NA,NA,NA
gene:plasmid:14794,Plasmid,Plasmid transposition_recombination_integration,TnpB,pGA2_p10,NA,NA,NA,NA,NA,NA
gene:plasmid:141249,TE,NA,TnAs3,HCM1.226c,TnAs3,NA,NA,Aeromonas salmonicida,2551,0
gene:plasmid:117681,Prophage,NA,hypothetical protein,SC029,NA,NA,NA,NA,NA,NA
gene:vir:6080,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:91770,IS,NA,IS26,KPN_pKPN5p08246,IS26,IS6,None,Proteus vulgaris,1413,0
gene:plasmid:92153,Plasmid ARG,Plasmid ARG,putative aminoglycoside N(6')-acetyltransferase (Amikacin resistance protein) (AAC(6')),KPN_pKPN4p07058,NA,NA,NA,NA,NA,NA
gene:proph:175022,Prophage,NA,hypothetical protein,t2651,NA,NA,NA,NA,NA,NA
gene:vir:106574,Virus,NA,NA,NA,NA,NA,NA,NA,NA,NA
IncN2_1__JF785549,Plasmid replicon,Plasmid replicon,NA,NA,NA,NA,NA,NA,NA,NA
gene:plasmid:130567,Plasmid,Hypothetical plasmid protein,hypothetical protein,pKB1_p096,NA,NA,NA,NA,NA,NA
gene:plasmid:30745,IS,NA,IS100kyp,YPPCP1.02,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1552,0
gene:plasmid:145707,Plasmid,Plasmid transposition_recombination_integration,recombinase,Pcryo_2479,NA,NA,NA,NA,NA,NA
gene:proph:179462,Prophage,NA,GnsB protein,c3176,NA,NA,NA,NA,NA,NA
gene:plasmid:117713,Plasmid,Hypothetical plasmid protein,hypothetical protein,SC081,NA,NA,NA,NA,NA,NA
gene:plasmid:30819,IS,NA,IS100kyp,YPMT1.57c,IS100kyp,IS21,None,Yersinia pseudotuberculosis,1552,0
gene:plasmid:132152,IS,NA,ISS1M,LACR_C32,ISS1M,IS6,None,Lactococcus lactis,1318,0
gene:plasmid:152330,Plasmid,Plasmid stress_SOS_tox_antitox_partitioning,Adhesin,ERROR,NA,NA,NA,NA,NA,NA
